#Source de ce jeu de données : https://coronavirus.politologue.com - Les données proposées dans ce fichier sont une compilation des données proposées par le CSSE (The Johns Hopkins University) https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6
#Les données de ce fichier sont celles qui sont produites pour générer les graphiques sur https: //coronavirus.politologue.com
#Vous pouvez utiliser ces données sans problème et une référence à https://coronavirus.politologue.com sera appréciable
-----------------------------------------------
#Certains ne respectent pas la demande de ne pas récupérer trop souvent le fichier pour préserver le serveur (cela ne sert à rien de récupérer toutes les 3 min), le fichier présente désormais les 30 derniers jours seulement
#Si vous souhaitez avoir accès à l'ensemble, contactez moi, je n'ai pas le temps de faire la chasse à ceux qui ne respectent pas une certaine éthique, alors je fais en sorte de préserver mes ressources
-----------------------------------------------
Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
2022-02-02;Suède;2223115;16028;0;0.72;0.00;99.28
2022-02-02;Soudan;58208;3442;0;5.91;0.00;94.09
2022-02-02;Seychelles;37190;154;0;0.41;0.00;99.59
2022-02-02;Îles Salomon;2167;15;0;0.69;0.00;99.31
2022-02-02;Arabie Saoudite;695217;8943;0;1.29;0.00;98.71
2022-02-02;Rwanda;128933;1444;0;1.12;0.00;98.88
2022-02-02;Russie;11936064;325986;0;2.73;0.00;97.27
2022-02-02;Serbie;1697012;13687;0;0.81;0.00;99.19
2022-02-02;Roumanie;2292345;60242;0;2.63;0.00;97.37
2022-02-02;Réunion;180531;500;0;0.28;0.00;99.72
2022-02-02;Qatar;341628;649;0;0.19;0.00;99.81
2022-02-02;Paraguay;589318;17386;0;2.95;0.00;97.05
2022-02-02;Palaos;1940;0;0;0.00;0.00;100.00
2022-02-02;Portugal;2690690;19968;0;0.74;0.00;99.26
2022-02-02;Palestine;535160;5104;0;0.95;0.00;99.05
2022-02-02;Pologne;4981321;105753;0;2.12;0.00;97.88
2022-02-02;Pakistan;1436413;29330;0;2.04;0.00;97.96
2022-02-02;Philippines;3577298;54097;0;1.51;0.00;98.49
2022-02-02;Papouasie-Nouvelle-Guinée;37270;597;0;1.60;0.00;98.40
2022-02-02;Polynésie Française;48266;636;0;1.32;0.00;98.68
2022-02-02;Pérou;3262165;205985;0;6.31;0.00;93.69
2022-02-02;Panama;705880;7752;0;1.10;0.00;98.90
2022-02-02;Oman;344043;4153;0;1.21;0.00;98.79
